Hit@10,Hit@20,Hit@50,NDCG@10,NDCG@20,NDCG@50,epoch,loss,step
0.12166380882263184,0.16347886621952057,0.2350393533706665,0.0652979388833046,0.07585414499044418,0.09002898633480072,1,8.419142723083496,1
0.13650353252887726,0.18383678793907166,0.25823330879211426,0.07617759704589844,0.08810053020715714,0.10283933579921722,2,7.851126670837402,2
0.14426416158676147,0.1926746666431427,0.2701050937175751,0.08205636590719223,0.09427479654550552,0.1096249371767044,3,7.580843448638916,3
0.14593501389026642,0.19680780172348022,0.27410632371902466,0.08390703797340393,0.09674118459224701,0.11207938194274902,4,7.338752269744873,4
0.14721012115478516,0.1971595585346222,0.2726113498210907,0.0850953459739685,0.09768633544445038,0.1126396432518959,5,7.092565059661865,5
0.14523150026798248,0.19454337656497955,0.269665390253067,0.08486117422580719,0.09730634093284607,0.11216370761394501,6,6.843896865844727,6
0.14261530339717865,0.18873938918113708,0.2657301127910614,0.08393371850252151,0.0955529734492302,0.11080573499202728,7,6.60467004776001,7
0.13907575607299805,0.18603526055812836,0.2587389349937439,0.08266106992959976,0.09447432309389114,0.10886681824922562,8,6.347560882568359,8
0.13729499280452728,0.18172624707221985,0.2550235092639923,0.0820273831486702,0.09322803467512131,0.10772489756345749,9,6.130467414855957,9
0.13382139801979065,0.17702150344848633,0.249175563454628,0.0815608948469162,0.09245124459266663,0.10677749663591385,10,5.943321228027344,10
0.13039176166057587,0.17284439504146576,0.2418106645345688,0.07993905246257782,0.09065218269824982,0.1043149009346962,11,5.728093147277832,11
0.12951236963272095,0.16976651549339294,0.239238440990448,0.08010026067495346,0.0902431458234787,0.10405648499727249,12,5.570153713226318,12
0.12603877484798431,0.16662269830703735,0.2336982786655426,0.07881705462932587,0.08905545622110367,0.10236087441444397,13,5.407926559448242,13
0.1231587752699852,0.1636987179517746,0.2305324673652649,0.07784543186426163,0.08807506412267685,0.10129912942647934,14,5.2476701736450195,14
