Hit@10,Hit@20,Hit@50,NDCG@10,NDCG@20,NDCG@50,epoch,loss,step
0.11950164288282394,0.15707875788211823,0.2300296425819397,0.0650174468755722,0.07447001338005066,0.08885621279478073,1,8.127388954162598,1
0.133202463388443,0.17630797624588013,0.2511417269706726,0.07747618854045868,0.08832202106714249,0.10307405143976212,2,7.586069583892822,2
0.1434580534696579,0.18508131802082062,0.2611970007419586,0.08529088646173477,0.09579480439424515,0.11086364835500717,3,7.392661094665527,3
0.14642256498336792,0.1903693526983261,0.2692893147468567,0.08697076886892319,0.09802385419607162,0.11363179981708527,4,7.247917175292969,4
0.148625910282135,0.1931736171245575,0.2736559510231018,0.08945794403553009,0.10069727897644043,0.11668422818183899,5,7.096585750579834,5
0.14810511469841003,0.19557727873325348,0.2744571566581726,0.09081213176250458,0.10276763141155243,0.11840304732322693,6,6.953100204467773,6
0.14830541610717773,0.19413508474826813,0.2746574580669403,0.09228134155273438,0.10383684933185577,0.11982157826423645,7,6.796970844268799,7
0.14778463542461395,0.1917714923620224,0.27269449830055237,0.09136320650577545,0.10239717364311218,0.11843535304069519,8,6.654945373535156,8
0.14429932832717896,0.1901690512895584,0.27121224999427795,0.09116785228252411,0.10270564258098602,0.11875374615192413,9,6.494980335235596,9
0.14301738142967224,0.1856021136045456,0.26504287123680115,0.09068414568901062,0.10141068696975708,0.11713399738073349,10,6.316603660583496,10
0.1406537890434265,0.18424004316329956,0.26207834482192993,0.08981292694807053,0.10078570991754532,0.11616319417953491,11,6.194497585296631,11
0.1401730626821518,0.1837993711233139,0.26035574078559875,0.09052468836307526,0.10154897719621658,0.11667141318321228,12,6.080944538116455,12
0.13724862039089203,0.18079480528831482,0.2561493515968323,0.08918739855289459,0.10012893378734589,0.1150016263127327,13,5.8954243659973145,13
0.13564617931842804,0.17546670138835907,0.24937905371189117,0.08889859914779663,0.09894967824220657,0.11354195326566696,14,5.760867595672607,14
0.13584648072719574,0.17630797624588013,0.24737600982189178,0.08905864506959915,0.0991942510008812,0.11323525756597519,15,5.641992092132568,15
0.13103917241096497,0.16909702122211456,0.24076595902442932,0.08719748258590698,0.09678152948617935,0.1109459176659584,16,5.510635852813721,16
