Hit@10,Hit@20,Hit@50,NDCG@10,NDCG@20,NDCG@50,epoch,loss,step
0.05846881866455078,0.0926646813750267,0.15800319612026215,0.026524130254983902,0.03510105237364769,0.04804660752415657,1,8.059454917907715,1
0.06274329870939255,0.10067933052778244,0.17288756370544434,0.029073195531964302,0.038604266941547394,0.05283159017562866,2,7.654258728027344,2
0.07587207108736038,0.11533470451831818,0.18761925399303436,0.03636842966079712,0.04627492278814316,0.060548413544893265,3,7.4705810546875,3
0.08892450481653214,0.13037171959877014,0.2022746354341507,0.04249512031674385,0.05292106047272682,0.06713178753852844,4,7.350895881652832,4
0.09838943183422089,0.13892069458961487,0.21334248781204224,0.046986352652311325,0.0572107769548893,0.07188448309898376,5,7.216964244842529,5
0.10556446015834808,0.14823295176029205,0.21906724572181702,0.05054973438382149,0.06132768467068672,0.07533487677574158,6,7.076864719390869,6
0.10838866978883743,0.15578962862491608,0.22830317914485931,0.05284534767270088,0.06480810791254044,0.07916436344385147,7,6.944797039031982,7
0.1126631498336792,0.15891915559768677,0.2279215306043625,0.05442370846867561,0.06612780690193176,0.07970971614122391,8,6.812128067016602,8
0.11579268425703049,0.16143804788589478,0.23387527465820312,0.05582495778799057,0.06736075133085251,0.08165052533149719,9,6.676117420196533,9
0.1177772656083107,0.16212502121925354,0.23883672058582306,0.056727372109889984,0.06793584674596786,0.08312559127807617,10,6.5612921714782715,10
0.11518204212188721,0.1628883183002472,0.23975268006324768,0.05610246583819389,0.06819035112857819,0.0833582654595375,11,6.439146995544434,11
0.11434241384267807,0.1598351150751114,0.23311196267604828,0.055653732270002365,0.06713414192199707,0.0816376730799675,12,6.336785793304443,12
0.11342645436525345,0.1576978862285614,0.23341728746891022,0.05536114424467087,0.06652963906526566,0.08151932060718536,13,6.220433235168457,13
0.11258681863546371,0.1577742099761963,0.23166169226169586,0.0549970380961895,0.06639879196882248,0.08096370846033096,14,6.147679328918457,14
0.11090756207704544,0.15334707498550415,0.2222730964422226,0.05473428592085838,0.06543177366256714,0.07907107472419739,15,6.054466247558594,15
0.11014425754547119,0.15655292570590973,0.2288374900817871,0.054938942193984985,0.0666755959391594,0.08090196549892426,16,5.9699225425720215,16
0.10892298072576523,0.14884360134601593,0.21944889426231384,0.054089609533548355,0.06414435803890228,0.07808408886194229,17,5.8759026527404785,17
0.10793069005012512,0.14891992509365082,0.21776962280273438,0.05462212488055229,0.06498394161462784,0.07860486209392548,18,5.790347576141357,18
0.10380886495113373,0.14601938426494598,0.21677733957767487,0.0527363121509552,0.06337276846170425,0.07735151052474976,19,5.713780403137207,19
