Hit@10,Hit@20,Hit@50,NDCG@10,NDCG@20,NDCG@50,epoch,loss,step
0.12198612093925476,0.1531037539243698,0.20366129279136658,0.07586880773305893,0.08369313925504684,0.09367194771766663,1,8.787761688232422,1
0.1390676200389862,0.17015089094638824,0.22375380992889404,0.09022495895624161,0.098060742020607,0.10867669433355331,2,8.205745697021484,2
0.14507819712162018,0.17777574062347412,0.2324891835451126,0.09550353139638901,0.10375218093395233,0.11457931250333786,3,7.900514125823975,3
0.14747098088264465,0.18031735718250275,0.23487050831317902,0.09711270034313202,0.10540248453617096,0.11620333790779114,4,7.629079818725586,4
0.1471160650253296,0.18030591309070587,0.23326769471168518,0.09788145869970322,0.1062517762184143,0.11674598604440689,5,7.371952533721924,5
0.14535295963287354,0.17800471186637878,0.23033681511878967,0.09717096388339996,0.10540886968374252,0.11575794965028763,6,7.1205949783325195,6
0.1436242014169693,0.17492501437664032,0.2255970537662506,0.09687715768814087,0.10476531088352203,0.11481613665819168,7,6.882147312164307,7
0.14142605662345886,0.17257802188396454,0.22184187173843384,0.0967605784535408,0.1046232134103775,0.1143585816025734,8,6.659434795379639,8
0.13994917273521423,0.1700821965932846,0.2175600528717041,0.09629986435174942,0.10389949381351471,0.11330530792474747,9,6.4597978591918945,9
0.13808302581310272,0.16717422008514404,0.2134385108947754,0.0957564115524292,0.10306979715824127,0.1122211441397667,10,6.268191814422607,10
0.13547271490097046,0.16312137246131897,0.2088017761707306,0.09460701793432236,0.1015695184469223,0.11060940474271774,11,6.100423812866211,11
0.13380120694637299,0.16139262914657593,0.2052641212940216,0.09399545192718506,0.10095422714948654,0.10963170230388641,12,5.934366226196289,12
0.1315801590681076,0.15785497426986694,0.20157763361930847,0.09335445612668991,0.09996875375509262,0.10860741138458252,13,5.790409564971924,13
0.12963387370109558,0.15556521713733673,0.19813156127929688,0.09273046255111694,0.09927456825971603,0.10769239813089371,14,5.643735885620117,14
